,player_id,alt_player_id,player_name,school,Total Receptions,Mean Receptions,Highest Receptions,Lowest Receptions,Total Receiving Yards,Mean Receiving Yards,Highest Receiving Yards,Lowest Receiving Yards,Total Receiving Touchdowns,Mean Receiving Touchdowns,Highest Receiving Touchdowns,Lowest Receiving Touchdowns,Total Yards Per Reception,Mean Yards Per Reception,Highest Yards Per Reception,Lowest Yards Per Reception,Total Long Reception,Mean Long Reception,Highest Long Reception,Lowest Long Reception
44116,104166,3915522,K.J. Hill,Ohio State,201.0,50.25,70.0,18.0,2332.0,583.0,885.0,262.0,40.0,5.0,10.0,1.0,48.2,12.05,14.6,9.8,171.0,42.75,53.0,29.0
45481,104709,4039436,Malcolm Perry,Navy,22.0,11.0,13.0,9.0,470.0,235.0,303.0,167.0,6.0,1.0,2.0,0.0,41.900000000000006,20.950000000000003,23.3,18.6,148.0,74.0,75.0,73.0
45765,104176,4035277,Kalija Lipscomb,Vanderbilt,198.0,49.5,87.0,27.0,2356.0,589.0,916.0,319.0,44.0,5.5,9.0,2.0,49.699999999999996,12.424999999999999,16.5,10.5,209.0,52.25,68.0,45.0
45967,104478,4040623,Austin Mack,Ohio State,79.0,19.75,27.0,2.0,1050.0,262.5,361.0,15.0,12.0,1.7142857142857142,3.0,0.0,47.9,11.975,14.3,7.5,130.0,32.5,48.0,8.0
46106,104202,4035221,Quartney Davis,Texas A&M,99.0,49.5,54.0,45.0,1201.0,600.5,616.0,585.0,22.0,5.5,7.0,4.0,24.4,12.2,13.0,11.4,66.0,33.0,37.0,29.0
46180,104489,4040628,Binjimen Victor,Ohio State,82.0,20.5,34.0,4.0,1312.0,328.0,545.0,64.0,36.0,4.5,7.0,1.0,64.1,16.025,16.9,15.2,180.0,45.0,60.0,25.0
46483,104242,3929645,Juwan Johnson,Oregon,111.0,27.75,54.0,2.0,1590.0,397.5,701.0,70.0,12.0,1.7142857142857142,4.0,0.0,77.7,19.425,35.0,13.0,198.0,49.5,59.0,43.0
47170,104509,4035170,Marquez Callaway,Tennessee,92.0,23.0,37.0,1.0,1646.0,411.5,635.0,13.0,26.0,3.25,6.0,0.0,67.1,16.775,21.2,13.0,187.0,46.75,73.0,13.0
47786,104455,4046715,Trishton Jackson,Syracuse,86.0,21.5,66.0,3.0,1282.0,320.5,1023.0,27.0,26.0,3.7142857142857144,11.0,0.0,54.2,13.55,17.8,9.0,171.0,42.75,85.0,14.0
48352,104499,4039000,Aaron Fuller,Washington,159.0,39.75,59.0,16.0,2051.0,512.75,874.0,184.0,26.0,3.25,6.0,1.0,49.699999999999996,12.424999999999999,15.1,11.2,152.0,38.0,46.0,23.0
48736,104533,4035255,Kendrick Rogers,Texas A&M,68.0,22.666666666666668,30.0,11.0,786.0,262.0,351.0,99.0,14.0,2.8,5.0,0.0,33.099999999999994,11.033333333333331,12.4,9.0,70.0,23.333333333333332,30.0,17.0
49164,104535,4241983,Cody White,Michigan State,143.0,47.666666666666664,66.0,35.0,1967.0,655.6666666666666,922.0,490.0,24.0,4.0,6.0,2.0,41.2,13.733333333333334,14.0,13.2,149.0,49.666666666666664,60.0,40.0
49863,104544,3929831,Darrell Stewart Jr.,Michigan State,150.0,37.5,50.0,3.0,1640.0,410.0,697.0,29.0,14.0,2.0,4.0,0.0,42.5,10.625,14.2,8.6,127.0,31.75,44.0,16.0
50892,104458,4240626,Jeff Thomas,Miami,83.0,27.666666666666668,35.0,17.0,1316.0,438.6666666666667,563.0,374.0,16.0,2.6666666666666665,3.0,2.0,50.3,16.766666666666666,22.0,12.2,184.0,61.333333333333336,78.0,39.0
51132,104737,4362628,Ja'Marr Chase,LSU,107.0,53.5,84.0,23.0,2093.0,1046.5,1780.0,313.0,46.0,11.5,20.0,3.0,34.8,17.4,21.2,13.6,123.0,61.5,78.0,45.0
51256,104741,4241478,DeVonta Smith,Alabama,235.0,58.75,117.0,8.0,3965.0,991.25,1856.0,160.0,69.0,9.857142857142858,23.0,3.0,70.9,17.725,20.0,15.9,249.0,62.25,85.0,41.0
51344,104744,4372016,Jaylen Waddle,Alabama,106.0,35.333333333333336,45.0,28.0,1999.0,666.3333333333334,848.0,560.0,30.0,6.0,7.0,4.0,56.9,18.966666666666665,21.1,17.0,242.0,80.66666666666667,94.0,58.0
51889,105142,4240600,Kadarius Toney,Florida,120.0,30.0,70.0,10.0,1590.0,397.5,984.0,152.0,14.0,2.0,10.0,0.0,54.0,13.5,19.4,10.1,191.0,47.75,66.0,23.0
52374,105140,4362630,Terrace Marshall Jr.,LSU,106.0,35.333333333333336,48.0,12.0,1594.0,531.3333333333334,731.0,192.0,36.0,9.0,13.0,0.0,45.8,15.266666666666666,16.0,14.6,168.0,56.0,75.0,41.0
52475,105139,4372414,Elijah Moore,Ole Miss,189.0,63.0,86.0,36.0,2441.0,813.6666666666666,1193.0,398.0,24.0,4.8,8.0,2.0,37.699999999999996,12.566666666666665,13.9,11.1,196.0,65.33333333333333,91.0,50.0
52689,104740,4360939,Rashod Bateman,Minnesota,147.0,49.0,60.0,36.0,2395.0,798.3333333333334,1219.0,472.0,36.0,7.2,11.0,2.0,47.2,15.733333333333334,20.3,13.1,191.0,63.666666666666664,86.0,39.0
