,player_id,alt_player_id,player_name,school,Total Rushing Attempts,Mean Rushing Attempts,Highest Rushing Attempts,Lowest Rushing Attempts,Total Rushing Yards,Mean Rushing Yards,Highest Rushing Yards,Lowest Rushing Yards,Total Yards Per Rush Attempt,Mean Yards Per Rush Attempt,Highest Yards Per Rush Attempt,Lowest Yards Per Rush Attempt,Total Rushing Touchdowns,Mean Rushing Touchdowns,Highest Rushing Touchdowns,Lowest Rushing Touchdowns,Total Long Rushing,Mean Long Rushing,Highest Long Rushing,Lowest Long Rushing,Total Receptions,Mean Receptions,Highest Receptions,Lowest Receptions,Total Receiving Yards,Mean Receiving Yards,Highest Receiving Yards,Lowest Receiving Yards,Total Yards Per Reception,Mean Yards Per Reception,Highest Yards Per Reception,Lowest Yards Per Reception,Total Long Reception,Mean Long Reception,Highest Long Reception,Lowest Long Reception,Total Receiving Touchdowns,Mean Receiving Touchdowns,Highest Receiving Touchdowns,Lowest Receiving Touchdowns
12239,101539,3126367,Bo Scarbrough,Alabama,267.0,89.0,125.0,18.0,1512.0,504.0,812.0,104.0,17.1,5.7,6.5,4.8,40.0,6.666666666666667,11.0,1.0,153.0,51.0,85.0,24.0,21.0,10.5,17.0,4.0,131.0,65.5,109.0,22.0,11.9,5.95,6.4,5.5,24.0,12.0,15.0,9.0,0.0,0.0,0.0,0.0
13508,101849,3932420,Josh Adams,Notre Dame,481.0,160.33333333333334,206.0,117.0,3198.0,1066.0,1430.0,835.0,19.9,6.633333333333333,7.1,5.9,40.0,6.666666666666667,9.0,5.0,256.0,85.33333333333333,98.0,74.0,41.0,13.666666666666666,21.0,7.0,336.0,112.0,193.0,42.0,23.0,7.666666666666667,9.2,6.0,98.0,32.666666666666664,44.0,22.0,4.0,0.6666666666666666,1.0,0.0
14894,101768,3127335,Ryan Nall,Oregon State,385.0,128.33333333333334,165.0,73.0,2216.0,738.6666666666666,951.0,455.0,17.6,5.866666666666667,6.5,4.9,48.0,8.0,13.0,3.0,230.0,76.66666666666667,89.0,66.0,56.0,18.666666666666668,27.0,7.0,563.0,187.66666666666666,240.0,109.0,34.199999999999996,11.399999999999999,15.6,8.9,122.0,40.666666666666664,44.0,37.0,8.0,1.3333333333333333,2.0,0.0
16351,103839,4047365,Josh Jacobs,Alabama,252.0,84.0,120.0,46.0,1488.0,496.0,640.0,284.0,18.1,6.033333333333334,6.6,5.3,32.0,5.333333333333333,11.0,1.0,160.0,53.333333333333336,59.0,45.0,48.0,16.0,20.0,14.0,581.0,193.66666666666666,247.0,166.0,36.3,12.1,12.4,11.9,101.0,33.666666666666664,38.0,30.0,10.0,1.6666666666666667,3.0,0.0
17539,103596,4045163,Miles Sanders,Penn State,276.0,92.0,220.0,25.0,1649.0,549.6666666666666,1274.0,184.0,19.400000000000002,6.466666666666668,7.4,5.8,24.0,4.0,9.0,1.0,166.0,55.333333333333336,78.0,31.0,32.0,10.666666666666666,24.0,2.0,193.0,64.33333333333333,139.0,24.0,22.8,7.6000000000000005,12.0,5.0,57.0,19.0,29.0,7.0,2.0,0.3333333333333333,1.0,0.0
18482,103841,4039359,Darrell Henderson,Memphis,431.0,143.66666666666666,214.0,87.0,3545.0,1181.6666666666667,1909.0,482.0,23.3,7.766666666666667,8.9,5.5,72.0,12.0,22.0,5.0,209.0,69.66666666666667,82.0,45.0,63.0,21.0,24.0,19.0,758.0,252.66666666666666,295.0,226.0,36.8,12.266666666666666,15.5,9.4,162.0,54.0,71.0,45.0,16.0,2.6666666666666665,3.0,2.0
18693,103573,4035538,David Montgomery,Iowa State,624.0,208.0,258.0,109.0,2925.0,975.0,1216.0,563.0,14.3,4.766666666666667,5.2,4.4,52.0,8.666666666666666,13.0,2.0,148.0,49.333333333333336,58.0,39.0,71.0,23.666666666666668,36.0,13.0,582.0,194.0,296.0,129.0,25.200000000000003,8.4,9.9,7.1,127.0,42.333333333333336,53.0,28.0,0.0,0.0,0.0,0.0
18760,103678,4040761,Devin Singletary,Florida Atlantic,714.0,238.0,301.0,152.0,4289.0,1429.6666666666667,1920.0,1021.0,18.3,6.1000000000000005,6.7,5.2,131.0,21.833333333333332,32.0,12.0,180.0,60.0,70.0,44.0,51.0,17.0,26.0,6.0,397.0,132.33333333333334,198.0,36.0,22.7,7.566666666666666,10.4,6.0,121.0,40.333333333333336,60.0,13.0,2.0,0.3333333333333333,1.0,0.0
19316,103533,3925347,Damien Harris,Alabama,476.0,119.0,150.0,46.0,3073.0,768.25,1040.0,157.0,23.8,5.95,7.4,3.4,46.0,5.75,11.0,1.0,262.0,65.5,75.0,41.0,52.0,13.0,22.0,4.0,407.0,101.75,204.0,13.0,27.3,6.825,9.3,3.3,133.0,33.25,56.0,8.0,4.0,0.5,2.0,0.0
19768,103672,4048244,Alexander Mattison,Boise State,581.0,193.66666666666666,302.0,67.0,2829.0,943.0,1415.0,328.0,14.7,4.8999999999999995,5.1,4.7,66.0,11.0,17.0,4.0,148.0,49.333333333333336,70.0,19.0,60.0,20.0,28.0,5.0,511.0,170.33333333333334,284.0,54.0,27.299999999999997,9.1,10.8,6.4,78.0,26.0,36.0,19.0,2.0,0.3333333333333333,1.0,0.0
20186,103544,3931398,Bryce Love,Stanford,569.0,142.25,263.0,29.0,3866.0,966.5,2118.0,226.0,27.4,6.85,8.1,4.5,60.0,7.5,19.0,2.0,241.0,60.25,75.0,48.0,49.0,12.25,20.0,6.0,465.0,116.25,250.0,33.0,37.5,9.375,16.7,4.9,169.0,42.25,93.0,12.0,4.0,0.5,1.0,0.0
20289,103679,4038441,Justice Hill,Oklahoma State,632.0,210.66666666666666,268.0,158.0,3539.0,1179.6666666666667,1467.0,930.0,16.9,5.633333333333333,5.9,5.5,60.0,10.0,15.0,6.0,209.0,69.66666666666667,92.0,38.0,49.0,16.333333333333332,31.0,5.0,304.0,101.33333333333333,190.0,46.0,20.5,6.833333333333333,9.2,5.2,68.0,22.666666666666668,24.0,22.0,2.0,0.3333333333333333,1.0,0.0
20672,103644,4035072,Benny Snell Jr.,Kentucky,737.0,245.66666666666666,289.0,186.0,3873.0,1291.0,1449.0,1091.0,16.0,5.333333333333333,5.9,5.0,96.0,16.0,19.0,13.0,171.0,57.0,71.0,48.0,29.0,9.666666666666666,17.0,2.0,216.0,72.0,105.0,39.0,32.9,10.966666666666667,19.5,6.2,78.0,26.0,28.0,22.0,0.0,0.0,0.0,0.0
20964,103878,3916148,Tony Pollard,Memphis,139.0,46.333333333333336,78.0,30.0,941.0,313.6666666666667,552.0,159.0,19.9,6.633333333333333,7.7,5.1,18.0,3.0,6.0,1.0,126.0,42.0,66.0,19.0,104.0,34.666666666666664,39.0,29.0,1292.0,430.6666666666667,536.0,298.0,36.900000000000006,12.300000000000002,14.9,10.3,148.0,49.333333333333336,59.0,44.0,18.0,3.0,4.0,2.0
21482,103753,3923397,Ryquell Armstead,Temple,573.0,143.25,210.0,51.0,2812.0,703.0,1098.0,191.0,18.700000000000003,4.675000000000001,5.9,3.7,68.0,8.5,14.0,2.0,223.0,55.75,76.0,16.0,29.0,7.25,14.0,2.0,175.0,43.75,75.0,7.0,23.6,5.9,8.2,3.5,50.0,12.5,19.0,4.0,0.0,0.0,0.0,0.0
22092,103652,3123944,Qadree Ollison,Pittsburgh,529.0,132.25,212.0,33.0,2859.0,714.75,1213.0,127.0,19.8,4.95,6.3,3.8,58.0,7.25,11.0,2.0,219.0,54.75,97.0,19.0,50.0,12.5,23.0,2.0,375.0,93.75,194.0,38.0,38.9,9.725,19.0,5.5,91.0,22.75,30.0,15.0,6.0,0.75,2.0,0.0
22214,103876,3915115,Jordan Scarlett,Florida,344.0,114.66666666666667,179.0,34.0,1846.0,615.3333333333334,889.0,181.0,16.200000000000003,5.400000000000001,5.9,5.0,24.0,4.0,6.0,1.0,154.0,51.333333333333336,60.0,46.0,15.0,5.0,10.0,1.0,108.0,36.0,84.0,1.0,15.2,5.066666666666666,8.4,1.0,44.0,14.666666666666666,30.0,1.0,0.0,0.0,0.0,0.0
23657,103855,4035222,Trayveon Williams,Texas A&M,600.0,200.0,271.0,156.0,3615.0,1205.0,1760.0,798.0,17.9,5.966666666666666,6.8,4.6,68.0,11.333333333333334,18.0,8.0,254.0,84.66666666666667,93.0,72.0,66.0,22.0,27.0,19.0,561.0,187.0,278.0,91.0,24.7,8.233333333333333,10.3,4.8,96.0,32.0,41.0,17.0,2.0,0.3333333333333333,1.0,0.0
23824,103690,3915411,Ty Johnson,Maryland,348.0,87.0,137.0,35.0,2635.0,658.75,1004.0,250.0,30.3,7.575,9.1,6.4,34.0,4.25,6.0,3.0,275.0,68.75,81.0,44.0,29.0,7.25,16.0,2.0,318.0,79.5,206.0,22.0,43.6,10.9,15.0,3.7,131.0,32.75,66.0,18.0,4.0,0.5,1.0,0.0
24131,103641,3932449,Dexter Williams,Notre Dame,257.0,64.25,158.0,21.0,1636.0,409.0,995.0,81.0,24.5,6.125,9.2,3.9,40.0,5.0,12.0,1.0,236.0,59.0,97.0,14.0,22.0,7.333333333333333,16.0,2.0,162.0,54.0,133.0,13.0,18.8,6.266666666666667,8.3,4.0,37.0,12.333333333333334,22.0,7.0,4.0,0.5714285714285714,1.0,0.0
24734,103666,4037457,Travis Homer,Miami,334.0,111.33333333333333,164.0,7.0,1995.0,665.0,985.0,44.0,18.2,6.066666666666666,6.3,5.9,24.0,4.8,8.0,0.0,151.0,50.333333333333336,70.0,17.0,37.0,18.5,19.0,18.0,405.0,202.5,219.0,186.0,22.0,11.0,12.2,9.8,59.0,29.5,35.0,24.0,2.0,0.5,1.0,0.0
25311,103889,4361606,Darwin Thompson,Utah State,153.0,153.0,153.0,153.0,1044.0,1044.0,1044.0,1044.0,6.8,6.8,6.8,6.8,28.0,14.0,14.0,14.0,68.0,68.0,68.0,68.0,23.0,23.0,23.0,23.0,351.0,351.0,351.0,351.0,15.3,15.3,15.3,15.3,88.0,88.0,88.0,88.0,4.0,2.0,2.0,2.0
25456,103854,3915536,Mike Weber,Ohio State,455.0,151.66666666666666,182.0,101.0,2676.0,892.0,1096.0,626.0,17.7,5.8999999999999995,6.2,5.5,48.0,8.0,10.0,5.0,183.0,61.0,82.0,49.0,54.0,18.0,23.0,10.0,297.0,99.0,112.0,91.0,18.7,6.233333333333333,9.4,4.0,83.0,27.666666666666668,53.0,15.0,2.0,0.3333333333333333,1.0,0.0
25540,104054,3122143,Cullen Gillaspia,Texas A&M,5.0,1.25,5.0,0.0,33.0,8.25,33.0,0.0,6.6,1.65,6.6,0.0,2.0,0.4,1.0,0.0,13.0,3.25,13.0,0.0,5.0,5.0,5.0,5.0,52.0,52.0,52.0,52.0,10.4,10.4,10.4,10.4,21.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0
25682,103885,3919104,Kerrith Whyte Jr.,Florida Atlantic,232.0,77.33333333333333,134.0,43.0,1358.0,452.6666666666667,866.0,145.0,16.2,5.3999999999999995,6.5,3.4,22.0,3.6666666666666665,8.0,1.0,181.0,60.333333333333336,82.0,22.0,22.0,7.333333333333333,10.0,5.0,227.0,75.66666666666667,160.0,21.0,26.8,8.933333333333334,16.0,4.2,101.0,33.666666666666664,75.0,9.0,4.0,0.6666666666666666,2.0,0.0
26229,103633,3886818,Myles Gaskin,Washington,945.0,236.25,259.0,222.0,5323.0,1330.75,1380.0,1268.0,22.6,5.65,6.2,4.9,114.0,14.25,21.0,10.0,303.0,75.75,86.0,68.0,65.0,16.25,21.0,6.0,465.0,116.25,232.0,19.0,26.3,6.575,12.2,3.2,122.0,30.5,76.0,8.0,10.0,1.25,3.0,0.0
27885,103866,4035006,Elijah Holyfield,Georgia,215.0,71.66666666666667,159.0,6.0,1340.0,446.6666666666667,1018.0,29.0,17.1,5.7,6.4,4.8,18.0,3.6,7.0,0.0,114.0,38.0,66.0,9.0,7.0,2.3333333333333335,5.0,1.0,63.0,21.0,40.0,4.0,31.0,10.333333333333334,19.0,4.0,47.0,15.666666666666666,24.0,4.0,0.0,0.0,0.0,0.0
28383,103618,3929927,Karan Higdon,Michigan,471.0,117.75,224.0,11.0,2616.0,654.0,1178.0,19.0,19.0,4.75,6.1,1.7,54.0,7.714285714285714,11.0,0.0,198.0,49.5,77.0,9.0,16.0,5.333333333333333,8.0,1.0,177.0,59.0,131.0,3.0,25.5,8.5,16.4,3.0,53.0,17.666666666666668,35.0,3.0,0.0,0.0,0.0,0.0
28576,103740,3123675,Jalin Moore,Appalachian State,582.0,145.5,237.0,63.0,3570.0,892.5,1402.0,400.0,25.3,6.325,7.4,5.7,66.0,8.25,12.0,5.0,257.0,64.25,81.0,55.0,23.0,7.666666666666667,12.0,5.0,235.0,78.33333333333333,163.0,32.0,26.7,8.9,13.6,6.4,100.0,33.333333333333336,75.0,11.0,2.0,0.2857142857142857,1.0,0.0
