,draft_year,player_id,player_name,position,pos_abbr,school_x,school_name,school_abbr,link,pick,overall,round,traded,trade_note,team,team_abbr,team_logo_espn,guid,weight,height,pos_rk,ovr_rk,grade,player_image,Year,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,Unnamed: 0,alt_player_id,school_y,Total Receptions,Mean Receptions,Highest Receptions,Lowest Receptions,Total Receiving Yards,Mean Receiving Yards,Highest Receiving Yards,Lowest Receiving Yards,Total Receiving Touchdowns,Mean Receiving Touchdowns,Highest Receiving Touchdowns,Lowest Receiving Touchdowns,Total Yards Per Reception,Mean Yards Per Reception,Highest Yards Per Reception,Lowest Yards Per Reception,Total Long Reception,Mean Long Reception,Highest Long Reception,Lowest Long Reception
99,2020,104239,Dezmon Patmon,Wide Receiver,WR,Washington State,Cougars,WSU,http://insider.espn.com/nfl/draft/player/_/id/104239,33.0,212.0,6.0,True,(Compensatory Selection From NE),Indianapolis Colts,IND,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ind.png,55bc42d5ef21c2103494038fa5982e03,225.0,76.0,33.0,200.0,48.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104239.png,2020.0,Washington State,WR,76.0,228.0,10.25,32.75,,4.48,15.0,36.0,132.0,4.38,7.28,,43596,4054085,Washington State,156.0,39.0,61.0,2.0,1976.0,494.0,816.0,19.0,26.0,4.333333333333333,8.0,0.0,46.8,11.7,13.4,9.5,162.0,40.5,65.0,19.0
100,2020,104693,Freddie Swain,Wide Receiver,WR,Florida,Gators,FLA,http://insider.espn.com/nfl/draft/player/_/id/104693,36.0,214.0,6.0,False,(Compensatory Selection),Seattle Seahawks,SEA,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sea.png,9e9615d5e681efd3ec061d3cae59403b,197.0,72.0,,,,https://a.espncdn.com/i/headshots/nfldraft/players/full/104693.png,2020.0,Florida,WR,72.0,199.0,9.0,30.63,,4.46,16.0,36.5,124.0,4.26,7.05,,43697,4034950,Florida,68.0,17.0,38.0,8.0,996.0,249.0,517.0,96.0,30.0,3.75,7.0,1.0,59.3,14.825,18.9,12.0,188.0,47.0,65.0,26.0
101,2020,104248,Jauan Jennings,Wide Receiver,WR,Tennessee,Volunteers,TENN,http://insider.espn.com/nfl/draft/player/_/id/104248,3.0,217.0,7.0,True,From DET,San Francisco 49ers,SF,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sf.png,3abf6eac14c31c871bbf346234d9af21,215.0,75.0,42.0,278.0,34.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104248.png,2020.0,Tennessee,WR,75.13,215.0,9.0,31.63,,4.72,,29.0,119.0,,,,43893,3886598,Tennessee,146.0,29.2,59.0,3.0,2153.0,430.6,969.0,17.0,36.0,4.0,8.0,0.0,61.8,12.36,16.4,5.7,198.0,39.6,67.0,7.0
102,2020,104166,K.J. Hill,Wide Receiver,WR,Ohio State,Buckeyes,OSU,http://insider.espn.com/nfl/draft/player/_/id/104166,6.0,220.0,7.0,False,,Los Angeles Chargers,LAC,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lac.png,52a42d8acb64e2ed74ce5ab7ad97786b,196.0,72.0,15.0,98.0,70.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104166.png,2020.0,Ohio State,WR,71.88,196.0,9.25,29.13,,4.6,17.0,32.5,114.0,,,,44116,3915522,Ohio State,201.0,50.25,70.0,18.0,2332.0,583.0,885.0,262.0,40.0,5.0,10.0,1.0,48.2,12.05,14.6,9.8,171.0,42.75,53.0,29.0
103,2020,104176,Kalija Lipscomb,Wide Receiver,WR,Vanderbilt,Commodores,VAN,http://insider.espn.com/nfl/draft/player/_/id/104176,,,,,,,,,20e2070d53899b37df2fb9f6ac9d7f15,207.0,71.875,20.0,124.0,65.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104176.png,2020.0,Vanderbilt,WR,71.88,207.0,9.38,32.88,,4.57,16.0,32.0,127.0,,,,45765,4035277,Vanderbilt,198.0,49.5,87.0,27.0,2356.0,589.0,916.0,319.0,44.0,5.5,9.0,2.0,49.7,12.425,16.5,10.5,209.0,52.25,68.0,45.0
104,2020,104478,Austin Mack,Wide Receiver,WR,Ohio State,Buckeyes,OSU,http://insider.espn.com/nfl/draft/player/_/id/104478,,,,,,,,,2f75656ae2e9ea9ce08dfdfabc3997b6,208.0,73.5,22.0,132.0,62.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104478.png,2020.0,Ohio State,WR,73.5,208.0,10.0,33.63,,4.59,,31.5,117.0,4.42,,,45967,4040623,Ohio State,79.0,19.75,27.0,2.0,1050.0,262.5,361.0,15.0,12.0,1.7142857142857142,3.0,0.0,47.9,11.975,14.3,7.5,130.0,32.5,48.0,8.0
105,2020,104202,Quartney Davis,Wide Receiver,WR,Texas A&M,Aggies,TA&M,http://insider.espn.com/nfl/draft/player/_/id/104202,,,,,,,,,814f64b950050102e39ec211fefafe8f,201.0,73.25,25.0,149.0,59.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104202.png,2020.0,Texas A&M,WR,73.25,201.0,9.5,31.38,,4.54,,35.5,,,,,46106,4035221,Texas A&M,99.0,49.5,54.0,45.0,1201.0,600.5,616.0,585.0,22.0,5.5,7.0,4.0,24.4,12.2,13.0,11.4,66.0,33.0,37.0,29.0
106,2020,104489,Binjimen Victor,Wide Receiver,WR,Ohio State,Buckeyes,OSU,http://insider.espn.com/nfl/draft/player/_/id/104489,,,,,,,,,806efd5e238c2e40b74b265ebf98b6f1,198.0,75.75,26.0,153.0,58.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104489.png,2020.0,Ohio State,WR,75.75,198.0,9.63,34.13,,4.6,9.0,35.0,128.0,,7.1,,46180,4040628,Ohio State,82.0,20.5,34.0,4.0,1312.0,328.0,545.0,64.0,36.0,4.5,7.0,1.0,64.1,16.025,16.9,15.2,180.0,45.0,60.0,25.0
107,2020,104242,Juwan Johnson,Wide Receiver,WR,Oregon,Ducks,ORE,http://insider.espn.com/nfl/draft/player/_/id/104242,,,,,,,,,18c1eb5cdfda3e1cee182946bbbf6015,230.0,76.0,31.0,183.0,52.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104242.png,2020.0,Oregon,WR,76.0,230.0,10.5,34.25,,4.58,14.0,33.0,124.0,4.37,6.94,,46483,3929645,Oregon,111.0,27.75,54.0,2.0,1590.0,397.5,701.0,70.0,12.0,1.7142857142857142,4.0,0.0,77.7,19.425,35.0,13.0,198.0,49.5,59.0,43.0
108,2020,104509,Marquez Callaway,Wide Receiver,WR,Tennessee,Volunteers,TENN,http://insider.espn.com/nfl/draft/player/_/id/104509,,,,,,,,,c06eb72f8a76065df79721d3040410fe,205.0,73.25,34.0,209.0,47.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104509.png,2020.0,Tennessee,WR,73.25,205.0,9.38,32.38,,4.55,,38.0,126.0,,,,47170,4035170,Tennessee,92.0,23.0,37.0,1.0,1646.0,411.5,635.0,13.0,26.0,3.25,6.0,0.0,67.1,16.775,21.2,13.0,187.0,46.75,73.0,13.0
