,player_id,alt_player_id,player_name,school,Total Total Tackles,Mean Total Tackles,Highest Total Tackles,Lowest Total Tackles,Total Solo Tackles,Mean Solo Tackles,Highest Solo Tackles,Lowest Solo Tackles,Total Assist Tackles,Mean Assist Tackles,Highest Assist Tackles,Lowest Assist Tackles,Total Passes Defended,Mean Passes Defended,Highest Passes Defended,Lowest Passes Defended,Total Sacks,Mean Sacks,Highest Sacks,Lowest Sacks,Total Forced Fumbles,Mean Forced Fumbles,Highest Forced Fumbles,Lowest Forced Fumbles,Total Interceptions,Mean Interceptions,Highest Interceptions,Lowest Interceptions,Total Interception Yards,Mean Interception Yards,Highest Interception Yards,Lowest Interception Yards,Total Interception Touchdowns,Mean Interception Touchdowns,Highest Interception Touchdowns,Lowest Interception Touchdowns
20168,103898,3925358,Kendall Sheffield,Ohio State,75.0,37.5,40.0,35.0,58.0,29.0,31.0,27.0,17.0,8.5,9.0,8.0,17.0,8.5,9.0,8.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20382,103850,4036134,Amani Hooker,Iowa,125.0,41.666666666666664,65.0,4.0,80.0,26.666666666666668,41.0,3.0,45.0,15.0,29.0,1.0,9.0,3.0,7.0,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,0.0,90.0,30.0,60.0,0.0,1.0,0.3333333333333333,1.0,0.0
20486,103742,3917852,Sheldrick Redwine,Miami,164.0,41.0,64.0,13.0,98.0,24.5,37.0,8.0,66.0,16.5,29.0,5.0,10.0,2.5,6.0,0.0,3.5,0.875,3.0,0.0,4.0,1.0,2.0,0.0,5.0,1.25,3.0,0.0,76.0,19.0,62.0,0.0,0.0,0.0,0.0,0.0
20928,103667,3912545,Iman Marshall,USC,216.0,54.0,67.0,48.0,146.0,36.5,39.0,33.0,70.0,17.5,28.0,11.0,27.0,6.75,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,6.0,1.5,3.0,0.0,27.0,6.75,15.0,0.0,0.0,0.0,0.0,0.0
21075,103620,3126182,Isaiah Johnson,Houston,115.0,38.333333333333336,66.0,4.0,88.0,29.333333333333332,50.0,4.0,27.0,9.0,16.0,0.0,14.0,4.666666666666667,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.3333333333333333,2.0,0.0,94.0,31.333333333333332,49.0,0.0,0.0,0.0,0.0,0.0
21166,103999,3886834,Ugochukwu Amadi,Oregon,164.0,41.0,54.0,25.0,124.0,31.0,42.0,20.0,40.0,10.0,12.0,5.0,16.0,4.0,8.0,0.0,3.0,0.75,1.5,0.0,3.0,0.75,3.0,0.0,8.0,2.0,3.0,0.0,122.0,30.5,70.0,0.0,2.0,0.5,2.0,0.0
21455,103517,3859100,Deionte Thompson,Alabama,112.0,37.333333333333336,78.0,9.0,69.0,23.0,47.0,4.0,43.0,14.333333333333334,31.0,5.0,7.0,2.3333333333333335,6.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,3.0,1.0,2.0,0.0,86.0,28.666666666666668,65.0,0.0,0.0,0.0,0.0,0.0
21703,103548,3912544,Marvell Tell III,USC,220.0,55.0,85.0,36.0,127.0,31.75,42.0,19.0,93.0,23.25,43.0,16.0,9.0,2.25,5.0,0.0,1.0,0.25,1.0,0.0,1.0,0.25,1.0,0.0,5.0,1.25,3.0,0.0,60.0,15.0,64.0,-4.0,1.0,0.25,1.0,0.0
21797,103601,3116175,Amani Oruwariye,Penn State,105.0,26.25,50.0,5.0,72.0,18.0,39.0,1.0,33.0,8.25,11.0,4.0,18.0,4.5,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,8.0,2.0,4.0,0.0,45.0,11.25,30.0,-2.0,1.0,0.25,1.0,0.0
22429,103626,3917853,Michael Jackson,Miami,97.0,24.25,43.0,5.0,64.0,16.0,34.0,2.0,33.0,8.25,17.0,2.0,12.0,3.0,6.0,0.0,3.5,0.875,2.5,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23171,103612,3886824,Jordan Miller,Washington,61.0,15.25,26.0,5.0,48.0,12.0,20.0,4.0,13.0,3.25,6.0,1.0,12.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,2.0,0.0,6.0,1.5,2.0,1.0,57.0,14.25,55.0,0.0,0.0,0.0,0.0,0.0
23477,103662,3127367,Saquan Hampton,Rutgers,172.0,43.0,64.0,28.0,120.0,30.0,44.0,22.0,52.0,13.0,20.0,4.0,16.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.25,3.0,0.0,33.0,8.25,30.0,0.0,0.0,0.0,0.0,0.0
23603,103568,3672862,Jaquan Johnson,Miami,251.0,62.75,96.0,25.0,138.0,34.5,54.0,16.0,113.0,28.25,48.0,9.0,7.0,1.75,4.0,0.0,2.5,0.625,1.5,0.0,6.0,1.5,3.0,0.0,8.0,2.0,4.0,1.0,77.0,19.25,57.0,0.0,1.0,0.25,1.0,0.0
23788,104045,3916676,Ka'dar Hollman,Toledo,110.0,36.666666666666664,42.0,33.0,83.0,27.666666666666668,32.0,25.0,27.0,9.0,10.0,8.0,27.0,9.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,1.0,0.0,2.0,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0
24068,104048,3139368,Marcus Epps,Wyoming,324.0,81.0,111.0,62.0,214.0,53.5,72.0,41.0,110.0,27.5,39.0,21.0,18.0,4.5,8.0,0.0,2.0,0.5,1.0,0.0,5.0,1.25,2.0,1.0,9.0,2.25,4.0,0.0,211.0,52.75,94.0,0.0,1.0,0.25,1.0,0.0
24283,103592,3930021,Blessuan Austin,Rutgers,90.0,22.5,43.0,3.0,67.0,16.75,30.0,3.0,23.0,5.75,13.0,0.0,1.0,0.25,1.0,0.0,2.0,0.5,1.0,0.0,1.0,0.25,1.0,0.0,4.0,1.0,1.0,1.0,45.0,11.25,50.0,-5.0,1.0,0.25,1.0,0.0
24514,103758,3924364,Rashad Fenton,South Carolina,121.0,30.25,48.0,2.0,95.0,23.75,42.0,2.0,26.0,6.5,11.0,0.0,19.0,4.75,8.0,0.0,0.5,0.125,0.5,0.0,1.0,0.25,1.0,0.0,5.0,1.25,3.0,0.0,24.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0
24813,104051,3916126,Duke Shelley,Kansas State,165.0,41.25,56.0,28.0,153.0,38.25,53.0,28.0,12.0,3.0,8.0,0.0,24.0,6.0,11.0,0.0,1.0,0.25,1.0,0.0,1.0,0.25,1.0,0.0,8.0,2.0,3.0,0.0,84.0,21.0,30.0,0.0,2.0,0.5,1.0,0.0
25266,102700,3122135,Donovan Wilson,Texas A&M,207.0,51.75,66.0,19.0,127.0,31.75,37.0,17.0,80.0,20.0,29.0,2.0,5.0,1.25,3.0,0.0,5.0,1.25,2.0,0.0,3.0,0.75,2.0,0.0,8.0,2.0,5.0,0.0,76.0,19.0,76.0,0.0,1.0,0.25,1.0,0.0
25393,103577,3929845,Kris Boyd,Texas,187.0,46.75,67.0,16.0,138.0,34.5,50.0,9.0,49.0,12.25,19.0,6.0,31.0,7.75,16.0,0.0,1.0,0.25,1.0,0.0,4.0,1.0,2.0,0.0,4.0,1.0,2.0,0.0,70.0,17.5,70.0,0.0,0.0,0.0,0.0,0.0
25619,103776,3126245,Donnie Lewis Jr.,Tulane,161.0,40.25,56.0,30.0,130.0,32.5,44.0,26.0,31.0,7.75,12.0,4.0,27.0,6.75,16.0,0.0,0.5,0.125,0.5,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,0.0,79.0,19.75,49.0,0.0,1.0,0.25,1.0,0.0
25966,103699,3120508,Jimmy Moreland,James Madison,25.0,6.25,11.0,0.0,21.0,5.25,10.0,0.0,4.0,1.0,2.0,0.0,3.0,0.75,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,18.0,4.5,8.0,2.0,267.0,66.75,217.0,-29.0,6.0,1.5,3.0,0.0
26766,104061,3116179,Nick Scott,Penn State,113.0,28.25,65.0,8.0,60.0,15.0,35.0,3.0,53.0,13.25,30.0,3.0,2.0,0.5,1.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.6,3.0,0.0,16.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0
27595,103849,4035339,Hamp Cheevers,Boston College,57.0,28.5,40.0,17.0,37.0,18.5,28.0,9.0,20.0,10.0,12.0,8.0,9.0,4.5,6.0,3.0,0.0,0.0,0.0,0.0,3.0,1.5,2.0,1.0,9.0,4.5,7.0,2.0,178.0,89.0,135.0,43.0,1.0,0.5,1.0,0.0
27622,103777,4243161,Evan Worthington,Colorado,127.0,63.5,87.0,40.0,83.0,41.5,58.0,25.0,44.0,22.0,29.0,15.0,10.0,5.0,6.0,4.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,4.0,2.0,3.0,1.0,44.0,22.0,44.0,0.0,0.0,0.0,0.0,0.0
27721,103923,3126238,Derrek Thomas,Baylor,56.0,18.666666666666668,29.0,6.0,44.0,14.666666666666666,22.0,5.0,12.0,4.0,7.0,1.0,19.0,6.333333333333333,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,1.0,0.0,76.0,25.333333333333332,83.0,-7.0,0.0,0.0,0.0,0.0
27748,103559,3915291,Lukas Denis,Boston College,139.0,46.333333333333336,83.0,7.0,82.0,27.333333333333332,46.0,5.0,57.0,19.0,37.0,2.0,16.0,5.333333333333333,10.0,2.0,0.5,0.16666666666666666,0.5,0.0,2.0,0.6666666666666666,1.0,0.0,9.0,3.0,7.0,1.0,244.0,81.33333333333333,185.0,0.0,1.0,0.3333333333333333,1.0,0.0
27840,103997,3918331,Andrew Wingard,Wyoming,454.0,113.5,131.0,87.0,274.0,68.5,83.0,46.0,180.0,45.0,56.0,39.0,6.0,1.5,3.0,0.0,4.0,1.0,2.0,0.0,4.0,1.0,2.0,0.0,10.0,2.5,5.0,1.0,87.0,21.75,54.0,0.0,0.0,0.0,0.0,0.0
28216,103759,3126322,Darius West,Kentucky,188.0,62.666666666666664,86.0,17.0,116.0,38.666666666666664,57.0,12.0,72.0,24.0,39.0,5.0,7.0,2.3333333333333335,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,4.0,1.3333333333333333,3.0,0.0,72.0,24.0,51.0,0.0,0.0,0.0,0.0,0.0
28288,103570,3917279,Jamal Peters,Mississippi State,99.0,24.75,33.0,18.0,56.0,14.0,24.0,8.0,43.0,10.75,15.0,6.0,8.0,2.0,4.0,0.0,1.0,0.25,1.0,0.0,2.0,0.5,2.0,0.0,3.0,0.75,2.0,0.0,90.0,22.5,90.0,0.0,1.0,0.25,1.0,0.0
28481,103582,3128652,Blace Brown,Troy,111.0,37.0,44.0,33.0,76.0,25.333333333333332,28.0,23.0,35.0,11.666666666666666,19.0,6.0,16.0,5.333333333333333,6.0,4.0,0.5,0.16666666666666666,0.5,0.0,2.0,0.6666666666666666,1.0,0.0,12.0,4.0,6.0,1.0,181.0,60.333333333333336,93.0,0.0,1.0,0.3333333333333333,1.0,0.0
28868,104001,3930075,Zedrick Woods,Ole Miss,231.0,57.75,79.0,25.0,126.0,31.5,42.0,16.0,105.0,26.25,37.0,9.0,8.0,2.0,4.0,0.0,0.5,0.125,0.5,0.0,2.0,0.5,2.0,0.0,6.0,1.5,3.0,0.0,91.0,22.75,71.0,-2.0,1.0,0.25,1.0,0.0
29452,103806,3915970,Montre Hartage,Northwestern,172.0,43.0,60.0,4.0,140.0,35.0,49.0,3.0,32.0,8.0,12.0,1.0,29.0,7.25,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.5,5.0,0.0,87.0,21.75,70.0,0.0,0.0,0.0,0.0,0.0
29552,103781,3929849,Davante Davis,Texas,118.0,29.5,42.0,15.0,102.0,25.5,36.0,13.0,16.0,4.0,6.0,2.0,11.0,2.75,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,1.0,0.0,4.0,1.0,2.0,0.0,17.0,4.25,14.0,0.0,0.0,0.0,0.0,0.0
29660,103632,3728261,Mark Fields,Clemson,41.0,10.25,15.0,5.0,32.0,8.0,13.0,1.0,9.0,2.25,4.0,1.0,9.0,2.25,5.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,42.0,10.5,42.0,0.0,1.0,0.25,1.0,0.0
29779,103820,3915240,Derrick Baity Jr.,Kentucky,148.0,37.0,49.0,19.0,112.0,28.0,36.0,14.0,36.0,9.0,14.0,5.0,23.0,5.75,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,6.0,1.5,3.0,0.0,55.0,13.75,48.0,-3.0,0.0,0.0,0.0,0.0
29979,103605,3127305,JoJo McIntosh,Washington,212.0,53.0,67.0,38.0,127.0,31.75,40.0,20.0,85.0,21.25,27.0,13.0,5.0,1.25,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,2.0,0.5,1.0,0.0,41.0,10.25,33.0,0.0,0.0,0.0,0.0,0.0
30328,103795,3124096,Cameron Glenn,Wake Forest,269.0,67.25,98.0,35.0,184.0,46.0,69.0,24.0,85.0,21.25,33.0,9.0,11.0,2.75,7.0,0.0,2.5,0.625,2.5,0.0,3.0,0.75,2.0,0.0,4.0,1.0,2.0,0.0,57.0,14.25,41.0,0.0,0.0,0.0,0.0,0.0
30373,103873,4036434,Clifton Duck,Appalachian State,158.0,52.666666666666664,57.0,50.0,107.0,35.666666666666664,43.0,28.0,51.0,17.0,23.0,14.0,19.0,6.333333333333333,8.0,5.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,6.0,1.0,155.0,51.666666666666664,103.0,0.0,1.0,0.3333333333333333,1.0,0.0
30609,103794,3128431,Jordan Wyatt,SMU,146.0,36.5,50.0,16.0,116.0,29.0,40.0,13.0,30.0,7.5,11.0,3.0,12.0,3.0,8.0,0.0,1.0,0.25,1.0,0.0,8.0,2.0,4.0,0.0,11.0,2.75,4.0,1.0,289.0,72.25,165.0,1.0,4.0,1.0,2.0,0.0
30801,103851,3918044,Mike Bell,Fresno State,199.0,66.33333333333333,87.0,35.0,121.0,40.333333333333336,53.0,17.0,78.0,26.0,34.0,18.0,11.0,3.6666666666666665,8.0,0.0,0.5,0.16666666666666666,0.5,0.0,1.0,0.3333333333333333,1.0,0.0,4.0,1.3333333333333333,3.0,0.0,19.0,6.333333333333333,18.0,0.0,0.0,0.0,0.0,0.0
31163,103894,3916913,Ryan Pulley,Arkansas,94.0,23.5,47.0,1.0,70.0,17.5,33.0,1.0,24.0,6.0,14.0,0.0,19.0,4.75,13.0,0.0,1.0,0.25,1.0,0.0,1.0,0.25,1.0,0.0,6.0,1.5,3.0,0.0,83.0,20.75,75.0,0.0,1.0,0.25,1.0,0.0
31313,104010,3917286,Mark McLaurin,Mississippi State,214.0,53.5,79.0,20.0,106.0,26.5,36.0,10.0,108.0,27.0,43.0,10.0,15.0,3.75,6.0,0.0,2.5,0.625,1.5,0.0,2.0,0.5,1.0,0.0,8.0,2.0,6.0,0.0,112.0,28.0,85.0,0.0,0.0,0.0,0.0,0.0
31492,104012,3931774,Malik Gant,Marshall,201.0,67.0,100.0,6.0,94.0,31.333333333333332,47.0,2.0,107.0,35.666666666666664,53.0,4.0,13.0,4.333333333333333,8.0,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,2.0,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0
31742,103704,3123049,Kiy Hester,Rutgers,149.0,37.25,51.0,30.0,96.0,24.0,34.0,15.0,53.0,13.25,17.0,9.0,11.0,2.75,10.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,95.0,23.75,95.0,0.0,2.0,0.5,2.0,0.0
31945,103924,3128393,Brian Peavy,Iowa State,289.0,72.25,88.0,57.0,185.0,46.25,54.0,41.0,104.0,26.0,39.0,16.0,17.0,4.25,9.0,0.0,2.5,0.625,1.0,0.0,5.0,1.25,3.0,0.0,6.0,1.5,2.0,1.0,92.0,23.0,70.0,-1.0,0.0,0.0,0.0,0.0
32440,103646,3117249,Alijah Holder,Stanford,132.0,33.0,58.0,10.0,89.0,22.25,37.0,6.0,43.0,10.75,21.0,4.0,18.0,4.5,9.0,0.0,0.0,0.0,0.0,0.0,5.0,1.25,3.0,0.0,2.0,0.5,1.0,0.0,63.0,15.75,32.0,0.0,1.0,0.25,1.0,0.0
32553,104015,3923411,Delvon Randall,Temple,246.0,61.5,85.0,16.0,179.0,44.75,62.0,12.0,67.0,16.75,23.0,4.0,11.0,2.75,6.0,0.0,1.0,0.25,1.0,0.0,2.0,0.5,2.0,0.0,12.0,3.0,4.0,0.0,125.0,31.25,57.0,0.0,1.0,0.25,1.0,0.0
33442,104096,4241984,Jeff Okudah,Ohio State,84.0,28.0,35.0,17.0,65.0,21.666666666666668,29.0,12.0,19.0,6.333333333333333,8.0,5.0,18.0,6.0,9.0,1.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,2.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33745,104104,4240596,CJ Henderson,Florida,93.0,31.0,38.0,22.0,66.0,22.0,26.0,14.0,27.0,9.0,12.0,7.0,20.0,6.666666666666667,11.0,4.0,4.0,1.3333333333333333,3.0,0.0,2.0,0.6666666666666666,2.0,0.0,6.0,2.0,4.0,0.0,82.0,27.333333333333332,82.0,0.0,2.0,0.6666666666666666,2.0,0.0
33993,104476,4239995,A.J. Terrell,Clemson,102.0,34.0,53.0,15.0,73.0,24.333333333333332,40.0,9.0,29.0,9.666666666666666,13.0,6.0,11.0,3.6666666666666665,5.0,3.0,0.5,0.16666666666666666,0.5,0.0,2.0,0.6666666666666666,2.0,0.0,6.0,2.0,3.0,1.0,160.0,53.333333333333336,95.0,0.0,1.0,0.3333333333333333,1.0,0.0
34150,104223,3915506,Damon Arnette,Ohio State,140.0,35.0,44.0,21.0,104.0,26.0,35.0,11.0,36.0,9.0,10.0,8.0,22.0,5.5,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,5.0,1.25,2.0,1.0,132.0,33.0,96.0,0.0,1.0,0.25,1.0,0.0
34620,104428,4242516,Noah Igbinoghene,Auburn,87.0,43.5,45.0,42.0,65.0,32.5,37.0,28.0,22.0,11.0,14.0,8.0,18.0,9.0,11.0,7.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34693,104219,3676819,Jeff Gladney,TCU,146.0,36.5,46.0,28.0,107.0,26.75,30.0,23.0,39.0,9.75,16.0,5.0,38.0,9.5,14.0,5.0,1.5,0.375,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.25,2.0,0.0,128.0,32.0,94.0,0.0,0.0,0.0,0.0,0.0
35115,104198,4241470,Xavier McKinney,Alabama,177.0,59.0,95.0,8.0,109.0,36.333333333333336,59.0,5.0,68.0,22.666666666666668,36.0,3.0,15.0,5.0,10.0,0.0,6.0,2.0,3.0,0.0,6.0,2.0,4.0,0.0,5.0,1.6666666666666667,3.0,0.0,101.0,33.666666666666664,78.0,0.0,2.0,0.6666666666666666,1.0,0.0
35443,104095,4242208,Grant Delpit,LSU,199.0,66.33333333333333,74.0,60.0,120.0,40.0,46.0,36.0,79.0,26.333333333333332,28.0,24.0,24.0,8.0,9.0,7.0,7.0,2.3333333333333335,5.0,0.0,2.0,0.6666666666666666,1.0,0.0,8.0,2.6666666666666665,5.0,1.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0
35470,104481,4034790,Antoine Winfield Jr.,Minnesota,174.0,43.5,85.0,17.0,126.0,31.5,62.0,10.0,48.0,12.0,23.0,3.0,6.0,1.5,3.0,0.0,4.0,1.0,3.0,0.0,2.0,0.5,2.0,0.0,9.0,2.25,7.0,0.0,193.0,48.25,111.0,0.0,2.0,0.5,1.0,0.0
35763,104210,4243253,Jaylon Johnson,Utah,102.0,34.0,41.0,25.0,88.0,29.333333333333332,34.0,23.0,14.0,4.666666666666667,10.0,2.0,21.0,7.0,11.0,4.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,7.0,2.3333333333333335,4.0,1.0,165.0,55.0,126.0,0.0,2.0,0.6666666666666666,1.0,0.0
35808,104110,4040966,Trevon Diggs,Alabama,68.0,17.0,37.0,5.0,43.0,10.75,20.0,2.0,25.0,6.25,17.0,2.0,17.0,4.25,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,4.0,1.0,3.0,0.0,79.0,19.75,79.0,0.0,1.0,0.25,1.0,0.0
36530,104102,4035433,Kristian Fulton,LSU,61.0,20.333333333333332,38.0,2.0,46.0,15.333333333333334,28.0,1.0,15.0,5.0,10.0,1.0,21.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,2.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36645,104397,4043169,Jeremy Chinn,Southern Illinois,22.0,5.5,8.0,0.0,19.0,4.75,7.0,0.0,3.0,0.75,1.0,0.0,3.0,0.75,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,13.0,3.25,4.0,3.0,144.0,36.0,95.0,0.0,0.0,0.0,0.0,0.0
36840,104200,3858271,Ashtyn Davis,California,166.0,41.5,55.0,25.0,102.0,25.5,36.0,14.0,64.0,16.0,23.0,11.0,9.0,2.25,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.75,2.0,0.0,7.0,1.75,4.0,0.0,121.0,30.25,59.0,0.0,1.0,0.25,1.0,0.0
36921,21496,4039059,Brandon Jones,Texas,232.0,58.0,86.0,15.0,174.0,43.5,64.0,11.0,58.0,14.5,22.0,4.0,7.0,1.75,4.0,0.0,1.0,0.25,1.0,0.0,2.0,0.5,1.0,0.0,4.0,1.0,2.0,0.0,33.0,8.25,26.0,0.0,0.0,0.0,0.0,0.0
37560,104407,4035661,Julian Blackmon,Utah,158.0,39.5,60.0,2.0,118.0,29.5,41.0,1.0,40.0,10.0,19.0,1.0,20.0,5.0,10.0,0.0,1.5,0.375,1.5,0.0,2.0,0.5,2.0,0.0,9.0,2.25,4.0,0.0,107.0,26.75,41.0,0.0,2.0,0.5,1.0,0.0
37807,104446,4035385,Cameron Dantzler,Mississippi State,107.0,35.666666666666664,42.0,25.0,77.0,25.666666666666668,31.0,15.0,30.0,10.0,11.0,9.0,17.0,5.666666666666667,8.0,3.0,1.5,0.5,1.0,0.0,1.0,0.3333333333333333,1.0,0.0,5.0,1.6666666666666667,2.0,1.0,23.0,7.666666666666667,15.0,0.0,0.0,0.0,0.0,0.0
38373,104510,3728263,Tanner Muse,Clemson,192.0,48.0,61.0,19.0,105.0,26.25,37.0,9.0,87.0,21.75,30.0,10.0,14.0,3.5,5.0,1.0,4.0,1.0,2.0,0.0,1.0,0.25,1.0,0.0,7.0,1.75,4.0,0.0,102.0,25.5,64.0,0.0,1.0,0.25,1.0,0.0
38537,104406,4035663,Terrell Burgess,Utah,116.0,29.0,81.0,1.0,72.0,18.0,50.0,1.0,44.0,11.0,31.0,0.0,9.0,2.25,5.0,0.0,0.5,0.125,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,29.0,7.25,29.0,0.0,0.0,0.0,0.0,0.0
38701,104208,4242973,Darnay Holmes,UCLA,121.0,40.333333333333336,49.0,33.0,89.0,29.666666666666668,37.0,23.0,32.0,10.666666666666666,12.0,10.0,17.0,5.666666666666667,8.0,3.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,2.0,0.0,8.0,2.6666666666666665,3.0,2.0,61.0,20.333333333333332,31.0,0.0,2.0,0.6666666666666666,1.0,0.0
38884,104171,4046679,Troy Pride Jr.,Notre Dame,114.0,28.5,47.0,5.0,83.0,20.75,37.0,5.0,31.0,7.75,13.0,0.0,18.0,4.5,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,4.0,1.0,2.0,0.0,15.0,3.75,19.0,-5.0,0.0,0.0,0.0,0.0
39370,104676,3917006,Reggie Robinson II,Tulsa,132.0,33.0,38.0,19.0,101.0,25.25,32.0,13.0,31.0,7.75,12.0,6.0,34.0,8.5,13.0,5.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,4.0,1.0,4.0,0.0,37.0,9.25,37.0,0.0,0.0,0.0,0.0,0.0
39549,104374,4035463,K'Von Wallace,Clemson,156.0,39.0,72.0,6.0,108.0,27.0,47.0,3.0,48.0,12.0,25.0,3.0,16.0,4.0,10.0,0.0,2.0,0.5,2.0,0.0,2.0,0.5,2.0,0.0,5.0,1.25,2.0,1.0,180.0,45.0,66.0,13.0,1.0,0.25,1.0,0.0
39859,104677,3858276,Jaylinn Hawkins,California,156.0,39.0,53.0,30.0,105.0,26.25,41.0,16.0,51.0,12.75,17.0,8.0,7.0,1.75,4.0,0.0,2.0,0.5,2.0,0.0,3.0,0.75,2.0,0.0,10.0,2.5,6.0,0.0,90.0,22.5,39.0,0.0,0.0,0.0,0.0,0.0
40014,104444,4241977,Josiah Scott,Michigan State,98.0,32.666666666666664,55.0,13.0,66.0,22.0,38.0,7.0,32.0,10.666666666666666,17.0,6.0,24.0,8.0,10.0,7.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,1.0,0.0,7.0,2.3333333333333335,3.0,2.0,46.0,15.333333333333334,34.0,0.0,0.0,0.0,0.0,0.0
40041,104656,4040432,L'Jarius Sneed,Louisiana Tech,171.0,42.75,73.0,17.0,120.0,30.0,44.0,12.0,51.0,12.75,30.0,1.0,17.0,4.25,8.0,0.0,2.5,0.625,1.5,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,1.0,154.0,38.5,68.0,-5.0,3.0,0.75,1.0,0.0
40104,104451,4239694,Amik Robertson,Louisiana Tech,179.0,59.666666666666664,61.0,58.0,136.0,45.333333333333336,48.0,44.0,43.0,14.333333333333334,17.0,10.0,34.0,11.333333333333334,16.0,6.0,4.0,1.3333333333333333,2.0,1.0,2.0,0.6666666666666666,1.0,0.0,14.0,4.666666666666667,5.0,4.0,265.0,88.33333333333333,141.0,27.0,3.0,1.0,2.0,0.0
40203,104541,3929653,John Reid,Penn State,125.0,31.25,37.0,24.0,83.0,20.75,26.0,17.0,42.0,10.5,13.0,7.0,23.0,5.75,8.0,0.0,1.5,0.375,1.0,0.0,1.0,0.25,1.0,0.0,7.0,1.75,2.0,1.0,163.0,40.75,61.0,14.0,1.0,0.25,1.0,0.0
40715,104651,4241889,Kenny Robinson,West Virginia,123.0,61.5,77.0,46.0,84.0,42.0,52.0,32.0,39.0,19.5,25.0,14.0,7.0,3.5,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.5,4.0,3.0,228.0,114.0,170.0,58.0,2.0,1.0,2.0,0.0
