,player_id,alt_player_id,player_name,school,Total Total Tackles,Mean Total Tackles,Highest Total Tackles,Lowest Total Tackles,Total Solo Tackles,Mean Solo Tackles,Highest Solo Tackles,Lowest Solo Tackles,Total Assist Tackles,Mean Assist Tackles,Highest Assist Tackles,Lowest Assist Tackles,Total Passes Defended,Mean Passes Defended,Highest Passes Defended,Lowest Passes Defended,Total Sacks,Mean Sacks,Highest Sacks,Lowest Sacks,Total Forced Fumbles,Mean Forced Fumbles,Highest Forced Fumbles,Lowest Forced Fumbles,Total Interceptions,Mean Interceptions,Highest Interceptions,Lowest Interceptions,Total Interception Yards,Mean Interception Yards,Highest Interception Yards,Lowest Interception Yards,Total Interception Touchdowns,Mean Interception Touchdowns,Highest Interception Touchdowns,Lowest Interception Touchdowns
59821,104843,4259570,Mark Webb,Georgia,82.0,20.5,46.0,1.0,49.0,12.25,31.0,0.0,33.0,8.25,15.0,1.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,2.0,0.0,1.0,0.25,1.0,0.0,13.0,3.25,13.0,0.0,0.0,0.0,0.0,0.0
60096,105296,4360853,Talanoa Hufanga,USC,203.0,67.66666666666667,90.0,51.0,129.0,43.0,58.0,31.0,74.0,24.666666666666668,32.0,20.0,8.0,2.6666666666666665,4.0,1.0,6.5,2.1666666666666665,3.5,0.0,4.0,1.3333333333333333,2.0,0.0,4.0,1.3333333333333333,4.0,0.0,90.0,30.0,90.0,0.0,0.0,0.0,0.0,0.0
60246,104873,4044079,Tyler Coyle,Purdue,274.0,68.5,108.0,13.0,172.0,43.0,64.0,10.0,102.0,25.5,44.0,3.0,16.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,2.0,0.0,3.0,0.75,2.0,0.0,86.0,21.5,52.0,0.0,2.0,0.5,1.0,0.0
60752,105300,4044064,James Wiggins,Cincinnati,87.0,29.0,54.0,1.0,62.0,20.666666666666668,36.0,1.0,25.0,8.333333333333334,18.0,0.0,11.0,3.6666666666666665,6.0,0.0,1.0,0.3333333333333333,1.0,0.0,2.0,0.6666666666666666,1.0,0.0,5.0,1.6666666666666667,4.0,0.0,83.0,27.666666666666668,83.0,0.0,1.0,0.3333333333333333,1.0,0.0
61158,105301,4369838,Bryce Thompson,Tennessee,102.0,34.0,36.0,32.0,73.0,24.333333333333332,27.0,22.0,29.0,9.666666666666666,10.0,9.0,11.0,3.6666666666666665,7.0,2.0,2.0,0.6666666666666666,1.0,0.0,2.0,0.6666666666666666,1.0,0.0,8.0,2.6666666666666665,3.0,2.0,91.0,30.333333333333332,45.0,18.0,1.0,0.3333333333333333,1.0,0.0
61203,104883,4052041,Christian Uphoff,Illinois State,8.0,4.0,6.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0,0.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,0.5,1.0,0.0,3.0,1.5,2.0,1.0,52.0,26.0,52.0,0.0,0.0,0.0,0.0,0.0
61459,105303,4035824,Brandon Stephens,SMU,92.0,46.0,49.0,43.0,74.0,37.0,38.0,36.0,18.0,9.0,11.0,7.0,22.0,11.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61733,105196,4038430,Rodarius Williams,Oklahoma State,169.0,42.25,58.0,18.0,137.0,34.25,48.0,13.0,32.0,8.0,10.0,5.0,31.0,7.75,10.0,6.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,2.0,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62170,105202,4242485,Thomas Graham Jr.,Oregon,183.0,61.0,64.0,57.0,143.0,47.666666666666664,49.0,47.0,40.0,13.333333333333334,17.0,10.0,32.0,10.666666666666666,18.0,4.0,1.0,0.3333333333333333,1.0,0.0,1.0,0.3333333333333333,1.0,0.0,8.0,2.6666666666666665,3.0,2.0,112.0,37.333333333333336,48.0,26.0,1.0,0.3333333333333333,1.0,0.0
62493,105208,4243332,Keith Taylor,Washington,91.0,22.75,59.0,8.0,61.0,15.25,38.0,6.0,30.0,7.5,21.0,2.0,10.0,2.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62740,105209,4261606,Darren Hall,San Diego State,135.0,33.75,49.0,3.0,102.0,25.5,34.0,3.0,33.0,8.25,15.0,0.0,25.0,6.25,16.0,0.0,2.5,0.625,1.5,0.0,3.0,0.75,2.0,0.0,6.0,1.5,3.0,0.0,81.0,20.25,72.0,0.0,1.0,0.25,1.0,0.0
62821,105425,4038944,Brady Breeze,Oregon,94.0,31.333333333333332,62.0,9.0,64.0,21.333333333333332,43.0,6.0,30.0,10.0,19.0,3.0,5.0,1.6666666666666667,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,3.0,1.0,2.0,0.0,32.0,10.666666666666666,32.0,0.0,1.0,0.3333333333333333,1.0,0.0
63097,105313,4570470,Nahshon Wright,Oregon State,64.0,32.0,34.0,30.0,49.0,24.5,26.0,23.0,15.0,7.5,8.0,7.0,6.0,3.0,4.0,2.0,1.0,0.5,1.0,0.0,1.0,0.5,1.0,0.0,5.0,2.5,3.0,2.0,14.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0
63400,105319,4374299,Olaijah Griffin,USC,67.0,22.333333333333332,37.0,8.0,43.0,14.333333333333334,24.0,7.0,24.0,8.0,13.0,1.0,13.0,4.333333333333333,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,-1.0,-0.3333333333333333,0.0,-1.0,0.0,0.0,0.0,0.0
63477,105320,4242513,Jordyn Peters,Auburn,91.0,22.75,35.0,11.0,54.0,13.5,20.0,11.0,37.0,9.25,15.0,0.0,6.0,1.5,2.0,1.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.0,35.0,8.75,35.0,0.0,0.0,0.0,0.0,0.0
63748,105327,4567480,Damarion Williams,Houston,99.0,49.5,73.0,26.0,74.0,37.0,54.0,20.0,25.0,12.5,19.0,6.0,12.0,6.0,7.0,5.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,2.0,1.0,2.0,0.0,36.0,18.0,36.0,0.0,1.0,0.5,1.0,0.0
63820,105430,4239088,Darrick Forrest,Cincinnati,191.0,47.75,106.0,5.0,117.0,29.25,63.0,3.0,74.0,18.5,43.0,2.0,6.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.5,3.0,0.0,96.0,24.0,51.0,0.0,0.0,0.0,0.0,0.0
64225,105335,4039596,Lorenzo Burns,Arizona,192.0,38.4,81.0,1.0,142.0,28.4,59.0,1.0,50.0,10.0,22.0,0.0,26.0,5.2,11.0,0.0,2.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,9.0,1.8,5.0,0.0,87.0,17.4,58.0,0.0,0.0,0.0,0.0,0.0
64315,105337,4360442,Aashari Crosswell,Arizona State,93.0,46.5,50.0,43.0,76.0,38.0,41.0,35.0,17.0,8.5,9.0,8.0,19.0,9.5,10.0,9.0,0.0,0.0,0.0,0.0,3.0,1.5,3.0,0.0,6.0,3.0,4.0,2.0,156.0,78.0,127.0,29.0,0.0,0.0,0.0,0.0
64396,105434,4036033,Mark Gilbert,Duke,65.0,16.25,35.0,4.0,44.0,11.0,19.0,4.0,21.0,5.25,16.0,0.0,14.0,3.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.75,6.0,0.0,7.0,1.75,7.0,0.0,0.0,0.0,0.0,0.0
65031,105438,4045161,Zech McPhearson,Texas Tech,121.0,24.2,53.0,1.0,100.0,20.0,47.0,0.0,21.0,4.2,9.0,1.0,14.0,2.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.8,4.0,0.0,21.0,4.2,21.0,0.0,0.0,0.0,0.0,0.0
65139,105440,4242488,Deommodore Lenoir,Oregon,147.0,36.75,52.0,24.0,105.0,26.25,38.0,17.0,42.0,10.5,15.0,5.0,21.0,5.25,9.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,6.0,1.5,3.0,1.0,83.0,20.75,45.0,0.0,0.0,0.0,0.0,0.0
65175,105441,4240456,Michael Carter II,Duke,135.0,33.75,53.0,18.0,86.0,21.5,30.0,12.0,49.0,12.25,23.0,5.0,23.0,5.75,8.0,2.0,1.5,0.375,1.0,0.0,1.0,0.25,1.0,0.0,4.0,1.0,2.0,0.0,38.0,9.5,33.0,0.0,0.0,0.0,0.0,0.0
65313,105443,4244740,Antonio Phillips,Ball State,129.0,32.25,43.0,19.0,71.0,17.75,23.0,12.0,58.0,14.5,23.0,7.0,17.0,4.25,5.0,3.0,1.0,0.25,1.0,0.0,1.0,0.25,1.0,0.0,7.0,1.75,4.0,0.0,-1.0,-0.25,0.0,-1.0,0.0,0.0,0.0,0.0
65768,105455,4046652,Chris Wilcox,BYU,87.0,17.4,32.0,1.0,67.0,13.4,23.0,1.0,20.0,4.0,9.0,0.0,8.0,1.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66636,105468,4240599,Donovan Stiner,Florida,142.0,35.5,54.0,9.0,72.0,18.0,28.0,6.0,70.0,17.5,27.0,3.0,3.0,0.75,1.0,0.0,1.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.5,4.0,0.0,33.0,8.25,33.0,0.0,0.0,0.0,0.0,0.0
