,draft_year,player_id,player_name,position,pos_abbr,school_x,school_name,school_abbr,link,pick,overall,round,traded,trade_note,team,team_abbr,team_logo_espn,guid,weight,height,pos_rk,ovr_rk,grade,player_image,Year,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Unnamed: 0,alt_player_id,school_y,Total Total Tackles,Mean Total Tackles,Highest Total Tackles,Lowest Total Tackles,Total Solo Tackles,Mean Solo Tackles,Highest Solo Tackles,Lowest Solo Tackles,Total Assist Tackles,Mean Assist Tackles,Highest Assist Tackles,Lowest Assist Tackles,Total Passes Defended,Mean Passes Defended,Highest Passes Defended,Lowest Passes Defended,Total Sacks,Mean Sacks,Highest Sacks,Lowest Sacks,Total Forced Fumbles,Mean Forced Fumbles,Highest Forced Fumbles,Lowest Forced Fumbles,Total Interceptions,Mean Interceptions,Highest Interceptions,Lowest Interceptions,Total Interception Yards,Mean Interception Yards,Highest Interception Yards,Lowest Interception Yards,Total Interception Touchdowns,Mean Interception Touchdowns,Highest Interception Touchdowns,Lowest Interception Touchdowns
99,2020,104451,Amik Robertson,Cornerback,CB,Louisiana Tech,Bulldogs,LAT,http://insider.espn.com/nfl/draft/player/_/id/104451,33.0,139.0,4.0,True,(Compensatory Selection From TB through NE),Las Vegas Raiders,LV,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lv.png,fcc68f0d751cc464180b643b74c68fa7,187.0,68.0,9.0,68.0,75.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104451.png,2020,Louisiana Tech,CB,68.38,187,,,,,,,,40104,4239694,Louisiana Tech,179.0,59.66666666666666,61.0,58.0,136.0,45.333333333333336,48.0,44.0,43.0,14.333333333333334,17.0,10.0,34.0,11.333333333333334,16.0,6.0,4.0,1.3333333333333333,2.0,1.0,2.0,0.6666666666666666,1.0,0.0,14.0,4.666666666666667,5.0,4.0,265.0,88.33333333333333,141.0,27.0,3.0,1.0,2.0,0.0
100,2020,104541,John Reid,Cornerback,CB,Penn State,Nittany Lions,PSU,http://insider.espn.com/nfl/draft/player/_/id/104541,35.0,141.0,4.0,True,(Compensatory Selection From MIA),Houston Texans,HOU,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/hou.png,9db0b598fd0d4c3cb1b292b4ec344a9e,187.0,70.0,25.0,214.0,45.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104541.png,2020,Penn State,CB,70.38,187,,4.49,20.0,36.5,129.0,3.97,6.95,40203,3929653,Penn State,125.0,31.25,37.0,24.0,83.0,20.75,26.0,17.0,42.0,10.5,13.0,7.0,23.0,5.75,8.0,0.0,1.5,0.375,1.0,0.0,1.0,0.25,1.0,0.0,7.0,1.75,2.0,1.0,163.0,40.75,61.0,14.0,1.0,0.25,1.0,0.0
101,2020,104121,Bryce Hall,Cornerback,CB,Virginia,Cavaliers,UVA,http://insider.espn.com/nfl/draft/player/_/id/104121,13.0,158.0,5.0,False,,New York Jets,NYJ,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyj.png,afc5254f1dfd53e9e56a0777dee78453,202.0,73.0,11.0,87.0,71.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104121.png,2020,Virginia,CB,73.13,202,,,11.0,,,,,40904,4037584,Virginia,154.0,38.5,62.0,20.0,98.0,24.5,39.0,13.0,56.0,14.0,23.0,7.0,34.0,8.5,21.0,0.0,4.0,1.0,2.0,0.0,3.0,0.75,2.0,0.0,5.0,1.25,2.0,0.0,51.0,12.75,36.0,-4.0,0.0,0.0,0.0,0.0
102,2020,104225,Kindle Vildor,Cornerback,CB,Georgia Southern,Eagles,GASO,http://insider.espn.com/nfl/draft/player/_/id/104225,18.0,163.0,5.0,False,,Chicago Bears,CHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/chi.png,ad0f237290cfa491e7a1d24d03dfa69b,191.0,70.0,17.0,140.0,60.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104225.png,2020,Georgia Southern,CB,69.88,191,,4.44,22.0,39.5,133.0,4.28,7.14,41092,4036651,Georgia Southern,94.0,23.5,42.0,5.0,72.0,18.0,31.0,3.0,22.0,5.5,11.0,2.0,25.0,6.25,12.0,0.0,1.0,0.25,1.0,0.0,1.0,0.25,1.0,0.0,9.0,2.25,4.0,0.0,36.0,9.0,36.0,0.0,0.0,0.0,0.0,0.0
103,2020,104389,Dane Jackson,Cornerback,CB,Pittsburgh,Panthers,PITT,http://insider.espn.com/nfl/draft/player/_/id/104389,25.0,239.0,7.0,True,From MIN,Buffalo Bills,BUF,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/buf.png,ff43c21814555dd5619147074f0b506c,187.0,72.0,22.0,195.0,50.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104389.png,2020,Pittsburgh,CB,71.63,187,,4.57,,35.0,122.0,4.27,7.07,44926,3895791,Pittsburgh,148.0,37.0,47.0,18.0,113.0,28.25,38.0,9.0,35.0,8.75,13.0,4.0,39.0,9.75,14.0,4.0,1.5,0.375,1.0,0.0,4.0,1.0,4.0,0.0,4.0,1.0,2.0,0.0,67.0,16.75,26.0,0.0,1.0,0.25,1.0,0.0
104,2020,104138,Lavert Hill,Cornerback,CB,Michigan,Wolverines,MICH,http://insider.espn.com/nfl/draft/player/_/id/104138,,,,,,,,,334b7dc43519edd28bbc04e8561c2598,190.0,70.0,14.0,108.0,68.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104138.png,2020,Michigan,CB,70.0,190,,,21.0,,,,,45693,4046538,Michigan,57.0,14.25,25.0,2.0,37.0,9.25,15.0,2.0,20.0,5.0,10.0,0.0,21.0,5.25,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.5,3.0,0.0,70.0,17.5,25.0,0.0,2.0,0.5,1.0,0.0
105,2020,104502,Javaris Davis,Cornerback,CB,Auburn,Tigers,AUB,http://insider.espn.com/nfl/draft/player/_/id/104502,,,,,,,,,0567c76a9ebaa15061403ef99471a5ea,183.0,68.5,16.0,129.0,63.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104502.png,2020,Auburn,CB,68.5,183,,4.39,11.0,35.5,124.0,,,45913,3916926,Auburn,146.0,36.5,43.0,29.0,112.0,28.0,33.0,19.0,34.0,8.5,14.0,4.0,25.0,6.25,7.0,6.0,2.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,2.0,133.0,33.25,72.0,0.0,1.0,0.25,1.0,0.0
106,2020,104485,Essang Bassey,Cornerback,CB,Wake Forest,Demon Deacons,WAKE,http://insider.espn.com/nfl/draft/player/_/id/104485,,,,,,,,,4ea09c859811fe65906a5215b8d3c85f,191.0,69.375,19.0,162.0,56.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104485.png,2020,Wake Forest,CB,69.38,191,,4.46,12.0,39.5,128.0,4.13,6.95,46270,4037216,Wake Forest,228.0,57.0,75.0,19.0,162.0,40.5,53.0,16.0,66.0,16.5,23.0,3.0,45.0,11.25,16.0,3.0,1.0,0.25,1.0,0.0,1.0,0.25,1.0,0.0,5.0,1.25,3.0,0.0,31.0,7.75,30.0,0.0,1.0,0.25,1.0,0.0
107,2020,104205,A.J. Green,Cornerback,CB,Oklahoma State,Cowboys,OKST,http://insider.espn.com/nfl/draft/player/_/id/104205,,,,,,,,,ba8c57075313516a1879ed6d33de1eb6,202.0,73.5,20.0,167.0,55.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104205.png,2020,Oklahoma State,CB,73.5,202,,4.62,13.0,34.0,9.0,4.28,7.2,46324,4038437,Oklahoma State,147.0,36.75,49.0,2.0,118.0,29.5,39.0,1.0,29.0,7.25,10.0,1.0,21.0,5.25,11.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,6.0,1.5,4.0,0.0,92.0,23.0,65.0,0.0,1.0,0.25,1.0,0.0
108,2020,104512,Lamar Jackson,Cornerback,CB,Nebraska,Cornhuskers,NEB,http://insider.espn.com/nfl/draft/player/_/id/104512,,,,,,,,,a9581fcd2b3f1c8ce8b8cacd4ee431f0,208.0,74.0,24.0,212.0,46.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104512.png,2020,Nebraska,CB,74.0,208,,4.58,10.0,36.5,122.0,4.42,7.28,47312,4034849,Nebraska,117.0,29.25,40.0,11.0,87.0,21.75,30.0,9.0,30.0,7.5,11.0,2.0,22.0,5.5,12.0,0.0,1.0,0.25,1.0,0.0,3.0,0.75,2.0,0.0,5.0,1.25,3.0,0.0,12.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0
109,2020,104460,Trajan Bandy,Cornerback,CB,Miami,Hurricanes,MIA,http://insider.espn.com/nfl/draft/player/_/id/104460,,,,,,,,,cf5c048b5465287f969b28d7196d237f,180.0,67.75,27.0,243.0,40.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104460.png,2020,Miami (FL),CB,67.75,180,,4.5,10.0,,,,,48487,4240624,Miami,89.0,29.666666666666668,36.0,25.0,59.0,19.666666666666668,25.0,14.0,30.0,10.0,11.0,8.0,22.0,7.333333333333333,8.0,6.0,3.0,1.0,3.0,0.0,1.0,0.3333333333333333,1.0,0.0,4.0,1.3333333333333333,3.0,0.0,78.0,26.0,65.0,0.0,1.0,0.3333333333333333,1.0,0.0
110,2020,104033,Myles Bryant,Cornerback,CB,Washington,Huskies,WASH,http://insider.espn.com/nfl/draft/player/_/id/104033,,,,,,,,,6c02657528b314d7a7606d8bdf7302f2,183.0,67.875,29.0,272.0,35.0,https://a.espncdn.com/i/headshots/nfldraft/players/full/104033.png,2020,Washington,CB,69.0,185,,4.62,,31.5,115.0,4.02,6.81,49389,4039010,Washington,190.0,47.5,68.0,4.0,122.0,30.5,43.0,3.0,68.0,17.0,25.0,1.0,16.0,4.0,8.0,1.0,4.5,1.125,3.5,0.0,3.0,0.75,1.0,0.0,4.0,1.0,3.0,0.0,67.0,16.75,35.0,0.0,1.0,0.25,1.0,0.0
